"fecha","conjuntos_agregadas","total_conjuntos"
2014-06-06,3,3
2014-06-13,1,4
2014-06-19,1,5
2014-06-24,1,6
2014-06-25,3,9
2014-06-28,1,10
2014-07-04,1,11
2014-08-12,3,14
2014-09-23,1,15
2014-09-25,1,16
2014-10-07,1,17
2014-11-03,1,18
2014-11-18,1,19
2014-11-26,2,21
2014-11-27,1,22
2014-12-23,2,24
2015-01-12,1,25
2015-01-23,1,26
2015-02-20,1,27
2015-02-24,1,28
2015-03-03,1,29
2015-05-29,1,30
2015-06-10,1,31
2015-06-11,1,32
2015-06-17,1,33
2015-06-25,1,34
2015-07-03,1,35
2015-07-06,1,36
2015-07-14,1,37
2015-07-27,1,38
2015-07-29,1,39
2015-08-05,1,40
